age f1,height f1,reach f1,tau,name f1,normal bout,3 rounds,female,male,Catch weight,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,title bout,5 rounds,has title bout f1,has not title bout f1,tot title bout f1,has 5 rounds f1,has not 5 rounds f1,tot 5 rounds f1,has round 1 fought f1,has not round 1 fought f1,tot round 1 fought f1,has round 2 fought f1,has not round 2 fought f1,tot round 2 fought f1,has round 3 fought f1,has not round 3 fought f1,tot round 3 fought f1,has round 4 fought f1,has not round 4 fought f1,tot round 4 fought f1,has round 5 fought f1,has not round 5 fought f1,tot round 5 fought f1,tot r1 time f1,tot r2 time f1,tot r3 time f1,tot r4 time f1,tot r5 time f1,weeks active f1,last fight wa f1,age f2,height f2,reach f2,name f2,has title bout f2,has not title bout f2,tot title bout f2,has 5 rounds f2,has not 5 rounds f2,tot 5 rounds f2,has round 1 fought f2,has not round 1 fought f2,tot round 1 fought f2,has round 2 fought f2,has not round 2 fought f2,tot round 2 fought f2,has round 3 fought f2,has not round 3 fought f2,tot round 3 fought f2,has round 4 fought f2,has not round 4 fought f2,tot round 4 fought f2,has round 5 fought f2,has not round 5 fought f2,tot round 5 fought f2,tot r1 time f2,tot r2 time f2,tot r3 time f2,tot r4 time f2,tot r5 time f2,weeks active f2,last fight wa f2
1168.0,175.26,70.0,0,BJ Penn,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1299.0,180.34,,Joey Gilbert,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1289.0,175.26,,0,Carlos Newton,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1729.0,177.8,,Pat Miletich,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1637.0,187.96,76.0,0,Chuck Liddell,1,1,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1551.0,177.8,,Kevin Randleman,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1615.0,182.88,74.0,0,Matt Lindland,1,1,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1274.0,182.88,74.0,Ricardo Almeida,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1975.0,185.42,75.0,0,Randy Couture,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1409.0,185.42,,Pedro Rizzo,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1435.0,208.28,,0,Semmy Schilt,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1347.0,190.5,,Pete Williams,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1513.0,177.8,,0,Shonie Carter,1,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1404.0,167.64,68.0,Matt Serra,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1397.0,182.88,70.0,0,Tony DeSouza,1,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1458.0,180.34,,Steve Berger,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1176.0,175.26,70.0,8,BJ Penn,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,297.0,0.0,0.0,0.0,0.0,8,8.0,1291.0,175.26,,Din Thomas,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1364.0,170.18,70.0,8,Caol Uno,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1613.0,172.72,,Fabiano Iha,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
