name f1,E f1,R f1,R _REMOVE_ f1,name f2,E f2,R f2,R _REMOVE_ f2,tau,result
BJ Penn,,,1524.6402758007582,Joey Gilbert,,,1475.3597241992418,0,0
Carlos Newton,,,1524.6402758007582,Pat Miletich,,,1475.3597241992418,0,1
Chuck Liddell,,,1524.6402758007582,Kevin Randleman,,,1475.3597241992418,0,0
Matt Lindland,,,1500.0,Ricardo Almeida,,,1500.0,0,-1
Randy Couture,,,1524.6402758007582,Pedro Rizzo,,,1475.3597241992418,0,2
Semmy Schilt,,,1524.6402758007582,Pete Williams,,,1475.3597241992418,0,0
Shonie Carter,,,1524.6402758007582,Matt Serra,,,1475.3597241992418,0,0
Tony DeSouza,,,1524.6402758007582,Steve Berger,,,1475.3597241992418,0,2
BJ Penn,0.570448599558301,1524.6402758007582,1545.7032939893054,Din Thomas,0.42955140044169904,,1478.8314700450292,8,0
Caol Uno,,,1524.6402758007582,Fabiano Iha,,,1475.3597241992418,8,0
Josh Barnett,0.42955140044169904,,1528.1120216465456,Semmy Schilt,0.570448599558301,1524.6402758007582,1496.668374846012,8,1
Pat Miletich,0.3618454479138237,1475.3597241992418,1506.651581061712,Shonie Carter,0.6381545520861762,1524.6402758007582,1493.348418938288,8,0
Ricco Rodriguez,,,1524.6402758007582,Andrei Arlovski,,,1475.3597241992418,8,0
Tito Ortiz,,,1524.6402758007582,Elvis Sinosic,,,1475.3597241992418,8,0
Tony DeSouza,0.570448599558301,1524.6402758007582,1545.7032939893054,Paul Rodriguez,0.42955140044169904,,1478.8314700450292,8,1
Vladimir Matyushenko,,,1524.6402758007582,Yuki Kondo,,,1475.3597241992418,8,2
Chuck Liddell,0.570448599558301,1524.6402758007582,1545.7032939893054,Murilo Bustamante,0.42955140044169904,,1478.8314700450292,21,2
Dave Menne,,,1524.6402758007582,Gil Castillo,,,1475.3597241992418,21,2
Din Thomas,0.5099911576707608,1478.8314700450292,1502.8590140081421,Fabiano Iha,0.49000884232923925,1475.3597241992418,1451.3321802361288,21,2
Jens Pulver,,,1524.6402758007582,Dennis Hallman,,,1475.3597241992418,21,2
Jutaro Nakao,0.3714086050412405,,1530.9773306755342,Tony DeSouza,0.6285913949587595,1545.7032939893054,1515.085750289593,21,0
Matt Serra,0.42955140044169904,1475.3597241992418,1503.331625153988,Yves Edwards,0.570448599558301,,1471.8879783534544,21,2
Ricardo Almeida,0.5,1500.0,1524.5174595716467,Eugene Jackson,,,1475.3597241992418,21,1
Tito Ortiz,0.5,1524.6402758007582,1549.1577353724049,Vladimir Matyushenko,0.5,1524.6402758007582,1500.1228162291115,21,2
BJ Penn,0.5603288933765749,1545.7032939893054,1567.1188740123612,Caol Uno,0.4396711066234251,1524.6402758007582,1503.0810386378364,26,0
Evan Tanner,,,1524.6402758007582,Homer Moore,,,1475.3597241992418,26,1
Frank Mir,,,1524.6402758007582,Roberto Traven,,,1475.3597241992418,26,1
Josh Barnett,0.5802139187698979,1528.1120216465456,1548.6961981971435,Bobby Hoffman,0.4197860812301021,,1479.3127103623417,26,0
Matt Hughes,0.42955140044169904,,1528.1120216465456,Carlos Newton,0.570448599558301,1524.6402758007582,1496.668374846012,26,0
Matt Lindland,0.5,1500.0,1524.5174595716467,Phil Baroni,,,1475.3597241992418,26,2
Randy Couture,0.6381545520861762,1524.6402758007582,1542.3833380815813,Pedro Rizzo,0.3618454479138238,1475.3597241992418,1457.6166619184187,26,0
Ricco Rodriguez,0.6381545520861762,1524.6402758007582,1542.3833380815813,Pete Williams,0.3618454479138238,1475.3597241992418,1457.6166619184187,26,0
Andrei Semenov,0.42989791086290596,,1528.0949454218528,Ricardo Almeida,0.570102089137094,1524.5174595716467,1496.7488235905616,36,0
Chuck Liddell,0.6285913949587595,1545.7032939893054,1563.793931701655,Amar Suloev,0.3714086050412405,,1481.696779074018,36,2
Eugene Jackson,0.42955140044169904,1475.3597241992418,1503.331625153988,Keith Rockel,0.570448599558301,,1471.8879783534544,36,1
Gil Castillo,0.42955140044169904,1475.3597241992418,1503.331625153988,Chris Brennan,0.570448599558301,,1471.8879783534544,36,2
Jens Pulver,0.3801166973168952,1524.6402758007582,1555.0362034261018,BJ Penn,0.6198833026831048,1567.1188740123612,1537.1935675807053,36,2
Kevin Randleman,0.42955140044169904,1475.3597241992418,1503.331625153988,Renato Sobral,0.570448599558301,,1471.8879783534544,36,2
Murilo Bustamante,0.37112504887738895,1478.8314700450292,1509.668302424569,Dave Menne,0.628874951122611,1524.6402758007582,1493.8034434212186,36,0
Ricco Rodriguez,0.6196248501404279,1542.3833380815813,1560.9107198855816,Jeff Monson,0.3803751498595721,,1481.254902799411,36,0
Evan Tanner,0.6381545520861762,1524.6402758007582,1542.3833380815813,Elvis Sinosic,0.3618454479138238,1475.3597241992418,1457.6166619184187,46,0
Frank Mir,0.6838750915837902,1524.6402758007582,1540.141435124128,Pete Williams,0.31612490841620977,1457.6166619184187,1442.2187925304104,46,1
Josh Barnett,0.5181618779796621,1548.6961981971435,1572.1656568557573,Randy Couture,0.48183812202033793,1542.3833380815813,1518.9138794229675,46,0
Matt Hughes,0.5802139187698979,1528.1120216465456,1548.6961981971435,Hayato Sakurai,0.4197860812301021,,1479.3127103623417,46,0
Matt Lindland,0.5512415993547547,1524.5174595716467,1546.3756651604622,Pat Miletich,0.4487584006452453,1506.651581061712,1484.7933754728965,46,0
Matt Serra,0.5095880125249554,1503.331625153988,1527.2187012065722,Kelly Dullanty,0.49041198747504455,,1475.8322267452338,46,1
Pedro Rizzo,0.44910820678093344,1457.6166619184187,1484.4495993209491,Andrei Arlovski,0.5508917932190666,1475.3597241992418,1448.3467896620411,46,0
Sean Sherk,0.41177324270381366,,1528.9881390663274,Jutaro Nakao,0.5882267572961863,1530.9773306755342,1502.1336791935942,46,2
BJ Penn,0.6054453807860759,1537.1935675807053,1556.0165978056602,Paul Creighton,0.3945546192139241,,1480.5561307282117,53,0
Benji Radach,0.570448599558301,,1500.0,Steve Berger,0.42955140044169904,1475.3597241992418,1475.3597241992418,53,-1
Caol Uno,0.588828212059866,1503.0810386378364,1523.1084686763463,Yves Edwards,0.411171787940134,1471.8879783534544,1451.7262029778067,53,2
Ivan Salaverry,0.4198339663499498,,1528.5909021587383,Andrei Semenov,0.5801660336500503,1528.0949454218528,1499.6465508721374,53,0
Murilo Bustamante,0.39589257683830437,1509.668302424569,1539.093276384302,Matt Lindland,0.6041074231616956,1546.3756651604622,1517.2119505104588,53,1
Phil Baroni,0.4817685761393449,1475.3597241992418,1500.7711601657627,Amar Suloev,0.5182314238606551,1481.696779074018,1456.285343107497,53,0
Ricco Rodriguez,0.6684671992725345,1560.9107198855816,1576.9157011634632,Tsuyoshi Kohsaka,0.3315328007274655,,1483.661880706155,53,0
Robbie Lawler,,,1524.6402758007582,Aaron Riley,,,1475.3597241992418,53,2
Benji Radach,0.5,1500.0,1524.5174595716467,Nick Serra,,,1475.3597241992418,59,2
Chuck Liddell,0.6757820812897931,1563.793931701655,1579.4457818580331,Vitor Belfort,0.3242179187102069,,1484.0223621268653,59,2
Pete Spratt,,,1524.6402758007582,Zach Light,,,1475.3597241992418,59,1
Robbie Lawler,0.6381545520861762,1524.6402758007582,1542.3833380815813,Steve Berger,0.3618454479138238,1475.3597241992418,1457.7348904791265,59,0
Tony Fryklund,,,1524.6402758007582,Rodrigo Ruas,,,1475.3597241992418,59,0
Yves Edwards,0.36452615534307353,1451.7262029778067,1482.6789782859767,Joao Pierini,0.6354738446569265,,1468.6834984069703,59,0
Evan Tanner,0.6196248501404279,1542.3833380815813,1560.9107198855816,Chris Haseman,0.3803751498595721,,1481.254902799411,62,2
Genki Sudo,,,1524.6402758007582,Leigh Remedios,,,1475.3597241992418,62,1
Ian Freeman,0.38647701061595074,,1530.234751337057,Frank Mir,0.6135229893840493,1540.141435124128,1510.2578460567393,62,0
Mark Weir,0.4904119874750445,,1525.1127783467502,Eugene Jackson,0.5095880125249554,1503.331625153988,1478.5105197945104,62,0
Matt Hughes,0.6454257613868412,1548.6961981971435,1565.966864535557,Carlos Newton,0.35457423861315884,1496.668374846012,1479.3977085075985,62,0
Phillip Miller,,,1524.6402758007582,James Zikic,,,1475.3597241992418,62,2
Renato Sobral,0.540983991730091,1471.8879783534544,1494.3957912044466,Elvis Sinosic,0.45901600826990896,1457.6166619184187,1435.2588269165674,62,2
BJ Penn,0.5821359903711575,1556.0165978056602,1575.6418621564294,Matt Serra,0.4178640096288425,1527.2187012065722,1507.0460195408812,73,2
Caol Uno,0.5580200716356363,1523.1084686763463,1544.4453634365307,Din Thomas,0.44197992836436373,1502.8590140081421,1481.3309754768807,73,2
Gan McGee,0.5446384854005536,,1522.4404666175626,Pedro Rizzo,0.4553615145994464,1484.4495993209491,1462.4666989869847,73,0
Matt Lindland,0.46729550481697907,1517.2119505104588,1542.6257014222504,Ivan Salaverry,0.5327044951830209,1528.5909021587383,1502.46978031017,73,2
Phil Baroni,0.5200439533735954,1500.7711601657627,1524.1489463546577,Dave Menne,0.47995604662640456,1493.8034434212186,1470.4256572323236,73,0
Ricco Rodriguez,0.6610037909715467,1576.9157011634632,1593.08820448227,Randy Couture,0.3389962090284533,1518.9138794229675,1502.548596811811,73,0
Sean Sherk,0.5128648099299216,1528.9881390663274,1552.8747737232666,Benji Radach,0.48713519007007844,1524.5174595716467,1500.789990361514,73,0
Tim Sylvia,,,1524.6402758007582,Wesley Correira,,,1475.3597241992418,73,0
Andrei Arlovski,0.28034115537599097,1448.3467896620411,1483.4000632207824,Ian Freeman,0.7196588446240091,1530.234751337057,1494.946338080163,81,0
Carlos Newton,0.3726478146526171,1479.3977085075985,1509.683580551303,Pete Spratt,0.6273521853473829,1524.6402758007582,1493.878112117881,81,1
Chuck Liddell,0.7269443294770422,1579.4457818580331,1592.4724577326913,Renato Sobral,0.27305567052295776,1494.3957912044466,1481.0957460690222,81,0
Matt Hughes,0.6728524657255811,1565.966864535557,1581.7601439627454,Gil Castillo,0.3271475342744189,1503.331625153988,1487.3968637060407,81,0
Phillip Miller,0.49864003170521787,1524.6402758007582,1549.224421307777,Mark Weir,0.5013599682947821,1525.1127783467502,1500.5286328397315,81,1
Robbie Lawler,0.6196248501404279,1542.3833380815813,1560.9107198855816,Tiki Ghosn,0.3803751498595721,,1481.254902799411,81,0
Tito Ortiz,0.637827982894762,1549.1577353724049,1566.7984756839392,Ken Shamrock,0.36217201710523805,,1482.1519632224201,81,0
Vladimir Matyushenko,0.5003534934640168,1500.1228162291115,1524.4596889113693,Travis Wiuff,0.4996465065359832,,1475.377144552136,81,0
BJ Penn,0.5888377962841493,1575.6418621564294,1571.5544368874882,Caol Uno,0.41116220371585066,1544.4453634365307,1548.6835511123118,95,3
Din Thomas,0.4265220589497942,1481.3309754768807,1509.0160301370734,Matt Serra,0.5734779410502058,1507.0460195408812,1479.6870885030462,95,2
Frank Mir,0.5294901870334061,1510.2578460567393,1532.9720412466756,David Abbott,0.4705098129665939,,1476.81301688308,95,1
Gan McGee,0.5642319746179174,1522.4404666175626,1543.8083165074056,Alexandre Dantas,0.4357680253820826,,1478.5251113388674,95,0
Matt Lindland,0.552980743004709,1542.6257014222504,1563.6202615812103,Phil Baroni,0.447019256995291,1524.1489463546577,1502.568774427888,95,2
Tim Sylvia,0.31259055503446326,1524.6402758007582,1558.3473423529795,Ricco Rodriguez,0.6874094449655368,1593.08820448227,1560.803557410973,95,0
