name f1
BJ Penn
Carlos Newton
Chuck Liddell
Matt Lindland
Randy Couture
Semmy Schilt
Shonie Carter
Tony DeSouza
BJ Penn
Caol Uno
Josh Barnett
Pat Miletich
Ricco Rodriguez
Tito Ortiz
Tony DeSouza
Vladimir Matyushenko
Chuck Liddell
Dave Menne
Din Thomas
Jens Pulver
Jutaro Nakao
Matt Serra
Ricardo Almeida
Tito Ortiz
BJ Penn
Evan Tanner
Frank Mir
Josh Barnett
Matt Hughes
Matt Lindland
Randy Couture
Ricco Rodriguez
Andrei Semenov
Chuck Liddell
Eugene Jackson
Gil Castillo
Jens Pulver
Kevin Randleman
Murilo Bustamante
Ricco Rodriguez
Evan Tanner
Frank Mir
Josh Barnett
Matt Hughes
Matt Lindland
Matt Serra
Pedro Rizzo
Sean Sherk
BJ Penn
Benji Radach
Caol Uno
Ivan Salaverry
Murilo Bustamante
Phil Baroni
Ricco Rodriguez
Robbie Lawler
Benji Radach
Chuck Liddell
Pete Spratt
Robbie Lawler
Tony Fryklund
Yves Edwards
Evan Tanner
Genki Sudo
Ian Freeman
Mark Weir
Matt Hughes
Phillip Miller
Renato Sobral
BJ Penn
Caol Uno
Gan McGee
Matt Lindland
Phil Baroni
Ricco Rodriguez
Sean Sherk
Tim Sylvia
Andrei Arlovski
Carlos Newton
Chuck Liddell
Matt Hughes
Phillip Miller
Robbie Lawler
Tito Ortiz
Vladimir Matyushenko
BJ Penn
Din Thomas
Frank Mir
Gan McGee
Matt Lindland
Tim Sylvia
Vladimir Matyushenko
Yves Edwards
Dave Strasser
David Loiseau
Duane Ludwig
Hermes Franca
Matt Hughes
Pete Spratt
Rich Franklin
Wesley Correira
Falaniko Vitale
Frank Mir
Kimo Leopoldo
Pedro Rizzo
Randy Couture
Vernon White
Vitor Belfort
Yves Edwards
Andrei Arlovski
Hermes Franca
Jorge Rivera
Josh Thomson
Karo Parisyan
Nick Diaz
Randy Couture
Rich Franklin
Tim Sylvia
Evan Tanner
Keith Rockel
Matt Hughes
Matt Lindland
Pedro Rizzo
Robbie Lawler
Wesley Correira
Yves Edwards
BJ Penn
Frank Mir
Georges St-Pierre
Josh Thomson
Lee Murray
Matt Serra
Renato Verissimo
Vitor Belfort
Andrei Arlovski
Chris Lytle
Chuck Liddell
Genki Sudo
Jonathan Wiezorek
Mike Kyle
Nick Diaz
Yves Edwards
Evan Tanner
Frank Mir
Frank Trigg
Georges St-Pierre
Ken Shamrock
Matt Hughes
Matt Serra
Trevor Prangley
Chris Lytle
Chuck Liddell
David Terrell
Joe Riggs
Justin Eilers
Karo Parisyan
Randy Couture
Yves Edwards
Evan Tanner
Frank Trigg
Ivan Salaverry
Matt Hughes
Rich Franklin
Tito Ortiz
Travis Lutter
Andrei Arlovski
David Loiseau
Evan Tanner
Karo Parisyan
Mike Kyle
Nick Diaz
Paul Buentello
Pete Sell
Tito Ortiz
Alex Karalexis
Chris Leben
Diego Sanchez
Forrest Griffin
Josh Koscheck
Mike Swick
Nate Quarry
Rich Franklin
Sam Hoger
Chuck Liddell
Georges St-Pierre
Ivan Salaverry
Joe Doerksen
Matt Hughes
Matt Lindland
Mike van Arsdale
Renato Sobral
Andrei Arlovski
David Loiseau
Forrest Griffin
Karo Parisyan
Nate Quarry
Nick Diaz
Paul Buentello
Rich Franklin
Chris Leben
Drew Fickett
Josh Koscheck
Kenny Florian
Mike Swick
Nate Marquardt
Nate Quarry
Stephan Bonnar
Chuck Liddell
Diego Sanchez
Georges St-Pierre
James Irvin
Matt Lindland
Randy Couture
Tim Sylvia
Trevor Prangley
Brandon Vera
Chris Leben
David Loiseau
Drew Fickett
Jon Fitch
Jonathan Goulet
Spencer Fisher
Alessio Sakara
Andrei Arlovski
Branden Lee Hinkle
Forrest Griffin
Joe Riggs
Jorge Rivera
Marcio Cruz
Renato Sobral
Diego Sanchez
Joe Stevenson
Joshua Burkman
Keith Jardine
Kenny Florian
Melvin Guillard
Rashad Evans
Gabriel Gonzaga
Georges St-Pierre
Jeremy Horn
Matt Hughes
Nick Thompson
Rich Franklin
Sam Hoger
Thiago Alves
Chris Leben
Duane Ludwig
Jason Von Flue
Josh Neer
Joshua Burkman
Spencer Fisher
Stephan Bonnar
Tim Sylvia
Alessio Sakara
Brandon Vera
Chuck Liddell
Jeff Monson
Joe Riggs
Keith Jardine
Marcio Cruz
Paul Buentello
Renato Sobral
Georges St-Pierre
Jason Lambert
Mark Hominick
Mike Swick
Nate Marquardt
Rich Franklin
Sam Stout
Tom Murphy
Chael Sonnen
Chris Leben
Dan Christison
Jon Fitch
Josh Koscheck
Josh Neer
Luke Cummo
Rashad Evans
Stephan Bonnar
David Terrell
Evan Tanner
Jason Lambert
Jeff Monson
Karo Parisyan
Sean Sherk
Thiago Alves
Tim Sylvia
Tito Ortiz
Brandon Vera
Dean Lister
Diego Sanchez
Gabriel Gonzaga
Jeremy Horn
Matt Hughes
Melvin Guillard
Mike Swick
Spencer Fisher
Anderson Silva
Jason Lambert
Jon Fitch
Jonathan Goulet
Jorge Santiago
Josh Koscheck
Kalib Starnes
Keith Jardine
Kendall Grove
Kenny Florian
Luigi Fioravanti
Mark Hominick
Matt Hamill
Michael Bisping
Mike Nickels
Rashad Evans
Rob MacDonald
Rory Singer
Cheick Kongo
Drew Fickett
Frank Mir
Hermes Franca
Jeff Monson
Joe Stevenson
Joshua Burkman
Tim Sylvia
Tito Ortiz
Anthony Torres
Chris Leben
Dean Lister
Diego Sanchez
Forrest Petz
Jake O'Brien
Joe Riggs
Josh Koscheck
Martin Kampmann
Cheick Kongo
Chuck Liddell
David Heath
Eric Schafer
Forrest Griffin
Hermes Franca
Nick Diaz
Wilson Gouveia
Yushin Okami
Eddie Sanchez
Joe Lauzon
Jorge Gurgel
Matt Hughes
Melvin Guillard
Mike Swick
Rashad Evans
Roger Huerta
Tyson Griffin
Jason MacDonald
Kendall Grove
Marcus Davis
Matt Hamill
Nate Marquardt
Rory Singer
Thiago Alves
Tito Ortiz
Tony DeSouza
Anderson Silva
Carmelo Marrero
Clay Guida
Jon Fitch
Kurt Pellegrino
Sean Sherk
Spencer Fisher
Yushin Okami
Charles McCarthy
Din Thomas
Jorge Rivera
Martin Kampmann
Matt Serra
Pete Spratt
Scott Smith
Travis Lutter
Antoni Hardonk
Brandon Vera
Drew McFedries
Georges St-Pierre
Jake O'Brien
James Irvin
Joe Stevenson
Nick Diaz
Tim Sylvia
Alan Belcher
Brock Larson
David Heath
Diego Sanchez
Josh Koscheck
Karo Parisyan
Logan Clark
Luigi Fioravanti
Marcus Davis
Andrei Arlovski
Christian Wellisch
Chuck Liddell
Gabriel Gonzaga
Jason MacDonald
Keith Jardine
Michael Bisping
Thiago Alves
Yushin Okami
Din Thomas
Ed Herman
Hermes Franca
Jake O'Brien
Joshua Burkman
Nate Marquardt
Rashad Evans
Rich Clementi
Anderson Silva
Dustin Hazelett
Frankie Edgar
Lyoto Machida
Mirko Filipovic
Patrick Cote
Quinton Jackson
Roger Huerta
Terry Martin
Gleison Tibau
Jamie Varner
Jason Lambert
Jon Fitch
Martin Kampmann
Matt Hamill
Matt Hughes
Randy Couture
Rich Franklin
Drew Fickett
Joe Stevenson
Justin McCully
Kenny Florian
Kuniyoshi Hironaka
Kurt Pellegrino
Roan Carneiro
Thiago Tavares
Wilson Gouveia
Heath Herring
Josh Koscheck
Kendall Grove
Luke Cummo
Marcus Davis
Matt Serra
Roger Huerta
Thales Leites
Yushin Okami
Alessio Sakara
Andrei Arlovski
Cheick Kongo
Gabriel Gonzaga
Jess Liaudin
Junior Assuncao
Lyoto Machida
Michael Bisping
Paul Taylor
Terry Etim
Alan Belcher
Din Thomas
Houston Alexander
Kalib Starnes
Karo Parisyan
Quinton Jackson
Terry Martin
Thiago Silva
Wilson Gouveia
Anthony Johnson
Drew McFedries
Forrest Petz
Gleison Tibau
Jon Fitch
Nate Mohr
Spencer Fisher
Tamdan McCrory
Thiago Tavares
Dustin Hazelett
Ed Herman
Eddie Sanchez
Forrest Griffin
Jason MacDonald
Marcus Davis
Rich Franklin
Tyson Griffin
BJ Penn
Cole Miller
Gray Maynard
Joe Lauzon
Leonard Garcia
Matt Wiman
Nate Diaz
Roger Huerta
Thales Leites
Anderson Silva
Antonio Rodrigo Nogueira
Chris Lytle
Frankie Edgar
Jorge Gurgel
Kenny Florian
Rashad Evans
Sean Sherk
Stephan Bonnar
Clay Guida
Frank Mir
Georges St-Pierre
Joe Stevenson
Patrick Cote
Randy Couture
Renato Sobral
Roger Huerta
Thales Leites
Cheick Kongo
Dennis Siver
Gleison Tibau
Houston Alexander
Jess Liaudin
Marcus Davis
Michael Bisping
Quinton Jackson
Thiago Silva
Chris Leben
Cole Miller
Dustin Hazelett
Gray Maynard
Kenny Florian
Luke Cummo
Nate Diaz
Nate Quarry
Thiago Alves
Christian Wellisch
Forrest Griffin
Jeremy Stephens
Jon Fitch
Keith Jardine
Lyoto Machida
Matt Wiman
Rich Clementi
Tyson Griffin
Alan Belcher
Alvin Robinson
Anderson Silva
Demian Maia
Joshua Burkman
Matt Grice
Stephan Bonnar
Tim Sylvia
Yushin Okami
Akihiro Gono
Ed Herman
Frankie Edgar
Joe Lauzon
Karo Parisyan
Marcus Aurelio
Rashad Evans
Thiago Alves
Thiago Silva
Ben Saunders
George Sotiropoulos
Jonathan Goulet
Mac Danzig
Matt Arroyo
Roger Huerta
Roman Mitichyan
Troy Mandaloniz
War Machine
Chuck Liddell
Dean Lister
Eddie Sanchez
Georges St-Pierre
James Irvin
Lyoto Machida
Manvel Gamburyan
Mark Bocek
Rich Clementi
Roan Carneiro
Alessio Sakara
Antoni Hardonk
BJ Penn
Corey Hill
Fabricio Werdum
Gray Maynard
Jeremy Stephens
Jorge Rivera
Kurt Pellegrino
Marcus Davis
Matt Wiman
Mike Swick
Nate Diaz
Patrick Cote
Paul Kelly
Sam Stout
Thiago Tavares
Wilson Gouveia
Antonio Rodrigo Nogueira
Chris Lytle
Frank Mir
Marvin Eastman
Nate Marquardt
Ricardo Almeida
Rob Emerson
Tim Boetsch
Tyson Griffin
Anderson Silva
Andrei Arlovski
Chris Leben
Diego Sanchez
Heath Herring
Jon Fitch
Jorge Gurgel
Josh Koscheck
Luigi Fioravanti
Yushin Okami
Anthony Johnson
Clay Guida
George Sotiropoulos
Gray Maynard
James Irvin
Josh Neer
Kenny Florian
Manvel Gamburyan
Marcus Aurelio
Matt Hamill
Nate Diaz
Thiago Alves
Cain Velasquez
Demian Maia
Georges St-Pierre
Jason Day
Jason MacDonald
Jonathan Goulet
Mac Danzig
Michael Bisping
Nate Quarry
Rich Clementi
Rich Franklin
BJ Penn
Dong Hyun Kim
Goran Reljic
Lyoto Machida
Rameau Thierry Sokoudjou
Rich Clementi
Rousimar Palhares
Shane Carwin
Thiago Silva
Wanderlei Silva
Yoshiyuki Yoshida
Antoni Hardonk
Fabricio Werdum
Kevin Burns
Luiz Cane
Martin Kampmann
Matt Wiman
Michael Bisping
Mike Swick
Paul Taylor
Thales Leites
Thiago Alves
Amir Sadollah
Dean Lister
Diego Sanchez
Drew McFedries
Dustin Hazelett
Kendall Grove
Matt Brown
Matthew Riddle
Rob Kimmons
Spencer Fisher
Cole Miller
Forrest Griffin
Gabriel Gonzaga
Joe Stevenson
Josh Koscheck
Justin Buchholz
Melvin Guillard
Patrick Cote
Tyson Griffin
Anderson Silva
Brad Blackburn
Brandon Vera
CB Dollaway
Cain Velasquez
Frankie Edgar
Kevin Burns
Nate Loughran
Rory Markham
Shannon Gugerty
Tim Credeur
Ben Saunders
Brock Lesnar
Cheick Kongo
Chris Wilson
Demian Maia
Georges St-Pierre
Jon Jones
Kenny Florian
Rob Emerson
Tamdan McCrory
Dan Henderson
Dong Hyun Kim
Jason MacDonald
Kurt Pellegrino
Nate Marquardt
Rashad Evans
Rich Franklin
Ryo Chonan
Tim Boetsch
Alan Belcher
Alessio Sakara
Clay Guida
Dan Miller
Eric Schafer
Jason Brilz
Joe Lauzon
Mike Massenzio
Nate Diaz
Wilson Gouveia
Chris Lytle
Dan Hardy
David Bielkheden
Jim Miller
Keith Jardine
Luiz Cane
Marcus Davis
Michael Bisping
Per Eklund
Shane Carwin
Terry Etim
Anderson Silva
Dan Miller
Gray Maynard
Hermes Franca
Junior Dos Santos
Pete Sell
Sean Sherk
Spencer Fisher
Thales Leites
Thiago Alves
Aaron Riley
Brock Lesnar
Demian Maia
Dustin Hazelett
Gabriel Gonzaga
Jeremy Stephens
Kenny Florian
Mark Bocek
Matt Brown
Ben Saunders
Dale Hartt
Jim Miller
Josh Koscheck
Justin McCully
Luigi Fioravanti
Mike Swick
Steve Bruno
Steve Cantwell
Tim Credeur
Anthony Johnson
Efrain Escudero
Eliot Marshall
Junie Browning
Krzysztof Soszynski
Rolando Delgado
Ryan Bader
Shane Nelson
Tom Lawlor
Wilson Gouveia
Antoni Hardonk
Brad Blackburn
CB Dollaway
Cheick Kongo
Frank Mir
Matt Hamill
Pat Barry
Quinton Jackson
Rashad Evans
Yushin Okami
Alan Belcher
Dan Henderson
Dennis Siver
Eric Schafer
John Hathaway
Marcus Davis
Martin Kampmann
Mauricio Rua
Rousimar Palhares
Tomasz Drwal
Clay Guida
Dan Cramer
Georges St-Pierre
Jake O'Brien
John Howard
Jon Fitch
Jon Jones
Karo Parisyan
Lyoto Machida
Thiago Tavares
Anthony Johnson
Cain Velasquez
Dan Miller
Gleison Tibau
Joe Lauzon
Josh Neer
Kurt Pellegrino
Matt Veach
Matthew Riddle
Nick Catone
Dan Hardy
Demian Maia
Diego Sanchez
Evan Dunham
Junior Dos Santos
Mike Ciesnolevicz
Nate Marquardt
Paul Kelly
Paulo Thiago
Terry Etim
Brandon Vera
Gray Maynard
Jason Brilz
Kendall Grove
Matt Brown
Matt Hamill
Quinton Jackson
Shane Carwin
Shane Nelson
Tamdan McCrory
Aaron Simpson
Brock Larson
Cole Miller
Gleison Tibau
Jorge Rivera
Martin Kampmann
Ricardo Almeida
Rob Kimmons
Ryan Bader
Tim Credeur
Tyson Griffin
Anderson Silva
Cheick Kongo
Denis Kang
Ed Herman
Eliot Marshall
Krzysztof Soszynski
Luiz Cane
Mark Bocek
Mauricio Rua
Nate Quarry
Sam Stout
TJ Grant
Brock Larson
Chael Sonnen
Drew McFedries
Frankie Edgar
George Roop
Krzysztof Soszynski
Kyle Bradley
Lyoto Machida
Matt Hughes
Tim Hague
Yoshiyuki Yoshida
Cain Velasquez
Dan Hardy
Dennis Siver
John Hathaway
Mike Swick
Mirko Filipovic
Paul Kelly
Paul Taylor
Rich Franklin
Spencer Fisher
Stefan Struve
