FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Tom Aaron,,155 lbs.,,,1978-07-13,
Danny Abbadi,180.34,155 lbs.,,Orthodox,1983-07-03,1198.0
Nariman Abbasov,172.72,155 lbs.,66,Orthodox,1994-02-01,
Darion Abbey,187.96,265 lbs.,80,Orthodox,1993-02-25,
David Abbott,182.88,265 lbs.,,Switch,1965-04-26,1974.0
Hamdy Abdelwahab,187.96,264 lbs.,72,Southpaw,1993-01-22,1540.0
Mansur Abdul-Malik,187.96,185 lbs.,80,Orthodox,1997-10-07,1413.0
Shamil Abdurakhimov,190.5,235 lbs.,76,Orthodox,1981-09-02,1798.0
Hiroyuki Abe,167.64000000000001,145 lbs.,,Orthodox,,
Daichi Abe,180.34,170 lbs.,71,Orthodox,1991-11-27,1367.0
Papy Abedi,180.34,185 lbs.,,Southpaw,1978-06-30,1740.0
Ricardo Abreu,180.34,185 lbs.,,Orthodox,1984-04-27,1570.0
Klidson Abreu,182.88,205 lbs.,74,Orthodox,1992-12-24,1365.0
Cyborg Abreu,,--,,,1980-12-20,
Daniel Acacio,172.72,180 lbs.,,Orthodox,1977-12-27,
John Adajar,175.26,170 lbs.,75,Orthodox,1991-06-22,
Scott Adams,182.88,225 lbs.,,Southpaw,,
Juan Adams,195.57999999999998,265 lbs.,80,Orthodox,1992-01-16,1404.0
Anthony Adams,185.42,185 lbs.,76,Orthodox,1988-01-13,
Zarrukh Adashev,165.1,125 lbs.,65,Southpaw,1992-07-29,1454.0
Israel Adesanya,193.04,185 lbs.,80,Switch,1989-07-22,1490.0
Sam Adkins,190.5,225 lbs.,,Orthodox,1965-04-26,
Mohamed Ado,180.34,170 lbs.,76,Switch,2000-05-03,
Nick Agallar,172.72,155 lbs.,,Orthodox,1979-01-13,1296.0
Mariya Agapova,167.64000000000001,125 lbs.,68,Southpaw,1997-04-07,1278.0
Kantharaj Agasa,,135 lbs.,,,1992-02-16,
Marcelo Aguiar,177.8,170 lbs.,,Orthodox,,
Fabio Aguiar,182.88,185 lbs.,,,1988-02-10,
Edwin Aguilar,177.8,185 lbs.,,,,
Jessica Aguilar,160.02,115 lbs.,63,Orthodox,1982-05-08,1734.0
Kevin Aguilar,170.18,155 lbs.,73,Orthodox,1988-09-07,1577.0
Jesus Aguilar,162.56,125 lbs.,62,Orthodox,1996-03-13,1403.0
Christian Aguilera,175.26,170 lbs.,72,Switch,1991-11-25,1489.0
Nick Aguirre,175.26,135 lbs.,74,Southpaw,1996-01-15,1408.0
Agulali,175.26,125 lbs.,67,Switch,2005-04-07,
Ahejiang Ailinuer,,145 lbs.,,,,
Mike Aina,175.26,155 lbs.,,Orthodox,,
Ashiek Ajim,172.72,135 lbs.,71,Switch,1994-06-19,
Hitomi Akano,162.56,135 lbs.,,Southpaw,1974-07-27,
Omari Akhmedov,182.88,185 lbs.,73,Orthodox,1987-10-12,1360.0
Yoshihiro Akiyama,177.8,170 lbs.,75,Orthodox,1975-07-29,1822.0
Rostem Akman,177.8,170 lbs.,72,Switch,1991-12-19,1450.0
Razak Al-Hassan,187.96,205 lbs.,,Orthodox,1982-05-14,1386.0
Abdul-Kareem Al-Selwady,172.72,155 lbs.,69,Orthodox,1995-04-10,1507.0
Mostapha Al-Turk,187.96,245 lbs.,77,Orthodox,1973-07-14,1850.0
Herdem Alacabek,187.96,205 lbs.,75,Orthodox,1991-06-07,
Javi Alanis,167.64000000000001,135 lbs.,,,,
Alatengheili,165.1,135 lbs.,66,Orthodox,1991-12-14,1503.0
Amir Albazi,165.1,125 lbs.,68,Orthodox,1993-10-27,1394.0
Brett Albee,,225 lbs.,,,,
John Albert,172.72,135 lbs.,68,Orthodox,1986-10-13,1311.0
Junior Albini,190.5,264 lbs.,74,Orthodox,1991-03-15,1375.0
Wes Albritton,177.8,188 lbs.,,Orthodox,,
Aleksandra Albu,157.48000000000002,115 lbs.,63,Orthodox,1990-07-14,1291.0
Israel Albuquerque,,185 lbs.,,Orthodox,,
Juan Alcain,,--,,,,
Iuri Alcantara,175.26,135 lbs.,71,Southpaw,1980-08-04,1723.0
Ildemar Alcantara,187.96,185 lbs.,78,Orthodox,1982-11-18,1574.0
Alfonso Alcarez,160.02,145 lbs.,,,1970-06-10,
Gilbert Aldana,185.42,250 lbs.,,Orthodox,1977-08-25,1484.0
