feature,count,freq,mean_importance,mean_rank
reach f1,15,1.0,0.028948618347446123,1.3333333333333333
reach f2,15,1.0,0.028639288370807967,1.8
age f1,15,1.0,0.017146678579350313,6.666666666666667
5 rounds,15,1.0,0.017133257227639358,6.933333333333334
age f2,15,1.0,0.017043475682536762,7.0
height f2,15,1.0,0.016872715018689633,8.133333333333333
height f1,15,1.0,0.01670935427149137,8.866666666666667
tot r3 time f2,15,1.0,0.015553165475527446,13.333333333333334
tot r3 time f1,15,1.0,0.01543213234593471,15.0
tot round 3 fought f1,15,1.0,0.01498716715723276,18.066666666666666
weightclass,15,1.0,0.01511221012721459,18.133333333333333
female,15,1.0,0.015826137053469816,19.333333333333332
tot round 3 fought f2,15,1.0,0.015375066424409549,19.4
xp_scorer3 f2,15,1.0,0.014321280208726724,24.933333333333334
has 5 rounds f1,15,1.0,0.014675382028023402,25.0
has title bout f1,15,1.0,0.014514414655665556,25.8
xp_scorer2 f1,15,1.0,0.014368717869122824,26.733333333333334
has title bout f2,15,1.0,0.014488117831448714,27.8
has 5 rounds f2,15,1.0,0.014503205567598343,28.133333333333333
Kcust f1,15,1.0,0.014030105186005433,30.133333333333333
tot title bout f2,15,1.0,0.014466214987138907,30.666666666666668
weeks active f2,15,1.0,0.013973864478369553,30.933333333333334
xp_scorer3 f1,15,1.0,0.014034149733682473,31.066666666666666
xp_scorer2 f2,15,1.0,0.014041854192813237,31.333333333333332
tot r2 time f2,15,1.0,0.01403792134175698,31.666666666666668
weeks active f1,15,1.0,0.013926086636881033,31.866666666666667
tot title bout f1,15,1.0,0.01415634664396445,32.266666666666666
Kcustr2 f2,15,1.0,0.013892570696771144,33.46666666666667
tot r2 time f1,15,1.0,0.013839878886938096,33.8
xp_scorer4 f2,15,1.0,0.013818914753695328,34.2
Kcustr2 f1,15,1.0,0.01375493947416544,34.46666666666667
tot round 2 fought f2,15,1.0,0.013993432745337486,34.6
xp_scorer4 f1,15,1.0,0.013697941849629084,36.86666666666667
Kcust f2,15,1.0,0.01364739891141653,37.666666666666664
tot r1 time f1,15,1.0,0.013576357314984003,38.266666666666666
Kcustr3 f2,15,1.0,0.01356876070300738,38.6
has round 4 fought f1,15,1.0,0.012301067573328812,38.8
tot r1 time f2,15,1.0,0.01351956327756246,39.53333333333333
xp_scorer5 f1,15,1.0,0.013434274929265182,41.86666666666667
tot round 4 fought f2,15,1.0,0.01242161641518275,41.86666666666667
xp_scorer5 f2,15,1.0,0.01340460026015838,41.93333333333333
Kcustr4 f2,15,1.0,0.013345673866569995,42.13333333333333
tot round 2 fought f1,15,1.0,0.013385354292889435,42.333333333333336
tot 5 rounds f1,15,1.0,0.013369744643568993,43.0
tot r5 time f2,15,1.0,0.013046059136589369,43.0
xp_score f1,15,1.0,0.013287588146825631,43.13333333333333
tot round 4 fought f1,15,1.0,0.012577975106736024,43.53333333333333
tot 5 rounds f2,15,1.0,0.013260793934265772,44.06666666666667
Kcustr5 f1,15,1.0,0.01323518914481004,44.13333333333333
Kcustr3 f1,15,1.0,0.013332090030113855,44.2
Kcustr4 f1,15,1.0,0.013286071767409643,44.266666666666666
has round 3 fought f1,15,1.0,0.011746088850001495,44.6
tau,15,1.0,0.013265356048941612,45.6
tot round 1 fought f2,15,1.0,0.012900577547649542,46.86666666666667
tot r5 time f1,15,1.0,0.012767913254598777,48.333333333333336
Kcustr5 f2,15,1.0,0.013086700936158498,48.86666666666667
tot r4 time f1,15,1.0,0.012764693920811017,49.733333333333334
tot round 1 fought f1,15,1.0,0.012932844646275043,49.86666666666667
tot r4 time f2,15,1.0,0.012841698154807091,50.06666666666667
last fight wa f2,15,1.0,0.01298369380335013,51.266666666666666
xp_score f2,15,1.0,0.012942607452472051,51.333333333333336
last fight wa f1,15,1.0,0.012797207633654276,53.46666666666667
has round 4 fought f2,15,1.0,0.0078119322036703425,53.53333333333333
E f1,15,1.0,0.012665342539548874,55.8
R f1,15,1.0,0.012630719070633253,57.2
R f2,15,1.0,0.012489198769132296,58.8
E f2,15,1.0,0.012137397502859434,61.8
has round 2 fought f1,15,1.0,0.005086685655017694,62.53333333333333
has round 3 fought f2,15,1.0,0.006297253631055355,65.26666666666667
has round 2 fought f2,15,1.0,0.0055280651276310286,66.4
tot round 5 fought f2,15,1.0,0.005204956109325091,67.13333333333334
title bout,15,1.0,0.010268145551284155,67.53333333333333
has round 5 fought f2,15,1.0,0.006523774936795235,67.73333333333333
has round 5 fought f1,15,1.0,0.0026488672941923142,70.46666666666667
Klogr5 f2,15,1.0,0.0,74.8
tot round 5 fought f1,15,1.0,0.0033341045180956524,75.93333333333334
Klogr5 f1,15,1.0,0.0,76.13333333333334
has round 1 fought f1,15,1.0,0.0005053043986360232,77.2
Klogr4 f2,15,1.0,0.0,78.06666666666666
Klogr3 f1,15,1.0,0.0,78.6
Klog f2,15,1.0,0.0,78.93333333333334
has round 1 fought f2,15,1.0,0.0005240627254048983,79.33333333333333
Klog f1,15,1.0,0.0,79.46666666666667
Klogr3 f2,15,1.0,0.0,79.66666666666667
Klogr2 f2,15,1.0,0.0,80.86666666666666
Klogr4 f1,15,1.0,0.0,81.06666666666666
Klogr2 f1,15,1.0,0.0,81.66666666666667
