feature,count,freq,mean_importance,mean_rank
s4,15,1.0,0.019656002273162207,1.0
s9,15,1.0,0.017231777186195056,2.0
Klogr3 f1,15,1.0,0.013678364331523578,3.0
s17,15,1.0,0.011826432993014653,6.2
s15,15,1.0,0.011497589821616808,8.266666666666667
s30,15,1.0,0.011387125899394354,8.933333333333334
Klogr2 f1,15,1.0,0.011759849699834983,9.2
s22,15,1.0,0.011285312846302986,11.066666666666666
Kcustr3 f1,15,1.0,0.010929550106326739,16.533333333333335
Kcust f2,15,1.0,0.010957977486153443,17.0
s0,15,1.0,0.01105509176850319,17.066666666666666
s1,15,1.0,0.010856068010131519,18.266666666666666
Kcustr2 f1,15,1.0,0.011115621464947859,18.4
s3,15,1.0,0.010760495190819104,20.466666666666665
Klogr2 f2,15,1.0,0.010969171673059464,21.266666666666666
s47,15,1.0,0.010765582571427028,21.4
Klogr3 f2,15,1.0,0.01101618241518736,21.933333333333334
Klog f1,15,1.0,0.010808647672335307,22.0
s28,15,1.0,0.010673783781627814,25.6
s14,15,1.0,0.010603797249495983,26.4
Kcustr2 f2,15,1.0,0.010617256599167983,30.933333333333334
s46,15,1.0,0.010504850931465626,34.06666666666667
s20,15,1.0,0.010437858911852041,34.8
s33,15,1.0,0.010444658311704795,35.733333333333334
s45,15,1.0,0.010409018769860268,37.0
s67,15,1.0,0.010379728302359581,37.46666666666667
s27,15,1.0,0.010448811203241348,37.53333333333333
s10,15,1.0,0.010398635764916737,37.666666666666664
s18,15,1.0,0.010418447852134704,38.666666666666664
s59,15,1.0,0.010361543173591297,39.13333333333333
Kcustr4 f1,15,1.0,0.01041150496651729,39.666666666666664
s2,15,1.0,0.0103577829276522,40.13333333333333
s51,15,1.0,0.010341869170467059,40.13333333333333
s73,15,1.0,0.01035663162668546,41.0
Klog f2,15,1.0,0.010360627993941307,41.266666666666666
s35,15,1.0,0.010361792519688606,41.333333333333336
s23,15,1.0,0.010323430163164933,41.333333333333336
s25,15,1.0,0.010338758801420529,41.6
s11,15,1.0,0.01035411407550176,42.06666666666667
s24,15,1.0,0.010317355456451575,42.2
s32,15,1.0,0.010329911236961682,42.8
s34,15,1.0,0.010326785904665788,43.733333333333334
s5,15,1.0,0.010293632249037425,44.0
Klogr4 f2,15,1.0,0.01042519553254048,46.2
s69,15,1.0,0.010295227356255054,46.2
s72,15,1.0,0.01024132917324702,47.666666666666664
s36,15,1.0,0.010260467914243539,48.6
s54,15,1.0,0.010247701096038024,49.93333333333333
s19,15,1.0,0.010214436675111453,50.733333333333334
s13,15,1.0,0.01019419301301241,52.06666666666667
s61,15,1.0,0.010195776199301084,52.266666666666666
s44,15,1.0,0.01019172662248214,53.666666666666664
s6,15,1.0,0.010195258880654971,54.2
Klogr5 f1,15,1.0,0.010195458183685939,54.4
s52,15,1.0,0.010161067421237627,54.6
Klogr4 f1,15,1.0,0.010036974959075452,56.2
Kcustr5 f1,15,1.0,0.010179180589814981,58.13333333333333
s26,15,1.0,0.010138194883863132,58.2
s16,15,1.0,0.010125443090995152,59.53333333333333
s8,15,1.0,0.010110657289624214,59.86666666666667
s60,15,1.0,0.010100437390307585,60.2
s37,15,1.0,0.01009947086373965,60.53333333333333
s66,15,1.0,0.010110596629480521,60.6
s43,15,1.0,0.010104026459157468,60.6
s70,15,1.0,0.01008381110926469,62.2
s71,15,1.0,0.010093039398392041,62.93333333333333
Kcustr3 f2,15,1.0,0.010046106887360413,63.266666666666666
s53,15,1.0,0.010080028014878431,63.46666666666667
s40,15,1.0,0.010058145845929782,63.53333333333333
Kcustr5 f2,15,1.0,0.010055514238774776,63.8
s74,15,1.0,0.01006681217501561,63.93333333333333
s68,15,1.0,0.010053738889594873,64.0
s42,15,1.0,0.010056917245189348,64.06666666666666
s41,15,1.0,0.010044617764651775,64.66666666666667
Kcust f1,15,1.0,0.01003517135977745,66.06666666666666
Kcustr4 f2,15,1.0,0.010021630674600601,67.26666666666667
s29,15,1.0,0.010018972679972649,67.6
Klogr5 f2,15,1.0,0.009923013175527256,68.0
s12,15,1.0,0.010010712966322898,68.13333333333334
s55,15,1.0,0.00998946192363898,69.13333333333334
s48,15,1.0,0.009973016505440076,70.06666666666666
s65,15,1.0,0.009949713634947935,72.06666666666666
s49,15,1.0,0.0099561699355642,72.93333333333334
s38,15,1.0,0.00995049470414718,73.53333333333333
s62,15,1.0,0.009949433182676633,74.4
s21,15,1.0,0.009900856204330922,74.8
s7,15,1.0,0.009872286828855674,74.86666666666666
s58,15,1.0,0.009915235141913096,75.06666666666666
s63,15,1.0,0.009853497582177321,79.06666666666666
s64,15,1.0,0.009821307907501856,79.13333333333334
s39,15,1.0,0.009805871980885665,82.33333333333333
s50,15,1.0,0.009797354663411776,83.26666666666667
s31,15,1.0,0.009753650488952796,84.06666666666666
s57,15,1.0,0.009701054419080417,86.8
s56,15,1.0,0.009610102201501528,90.86666666666666
