feature,count,freq,mean_importance,mean_rank
height f1,5,1.0,0.02105967439711094,2.0
has round 2 fought f1,5,1.0,0.018784259259700776,4.8
female,5,1.0,0.01772106271237135,5.0
reach f1,5,1.0,0.016118895821273328,6.2
age f2,5,1.0,0.015602214075624943,6.4
has round 1 fought f2,5,1.0,0.01623802911490202,7.0
5 rounds,5,1.0,0.01483738087117672,9.4
has round 3 fought f1,5,1.0,0.014807786419987678,9.4
has 5 rounds f1,5,1.0,0.013988618366420269,11.2
has round 2 fought f2,5,1.0,0.017725745216012,11.4
has 5 rounds f2,5,1.0,0.013402283005416394,13.2
Kcustr2 f2,5,1.0,0.013143458776175976,14.4
weightclass,5,1.0,0.012984663620591164,14.8
tot r3 time f1,5,1.0,0.012856414914131165,16.2
Kcust f2,5,1.0,0.012371033616364002,19.0
tot title bout f2,5,1.0,0.012244945764541626,20.2
reach f2,5,1.0,0.012187504582107067,20.6
has title bout f1,5,1.0,0.012176611833274365,20.8
has round 3 fought f2,5,1.0,0.01534569188952446,21.4
tot round 3 fought f1,5,1.0,0.012003938108682633,26.0
Klogr3 f1,5,1.0,0.011923705600202084,26.2
Kcustr3 f2,5,1.0,0.011733751185238362,27.2
has round 5 fought f1,5,1.0,0.011901488155126571,28.2
has title bout f2,5,1.0,0.011913267709314824,28.4
weeks active f2,5,1.0,0.01166546493768692,29.0
tot round 1 fought f1,5,1.0,0.011777682229876518,29.4
Kcustr4 f2,5,1.0,0.011534731462597847,31.4
xp_scorer4 f2,5,1.0,0.011494050547480584,32.8
xp_score f1,5,1.0,0.011481740884482861,32.8
has round 4 fought f2,5,1.0,0.011646876484155655,33.6
xp_scorer2 f2,5,1.0,0.011385835148394108,34.8
Klogr3 f2,5,1.0,0.011370789632201195,35.8
Kcustr5 f2,5,1.0,0.011244583129882812,37.8
tot r1 time f2,5,1.0,0.011248526722192764,38.2
E f2,5,1.0,0.011241622641682625,38.2
Klog f1,5,1.0,0.011292549222707749,40.4
xp_score f2,5,1.0,0.011197681911289692,40.6
xp_scorer3 f2,5,1.0,0.011178391799330712,41.0
Klog f2,5,1.0,0.011111970245838165,41.2
tot r5 time f2,5,1.0,0.011177455261349677,42.6
has round 5 fought f2,5,1.0,0.011612169072031974,43.0
Klogr4 f2,5,1.0,0.01104192454367876,43.2
tot r2 time f2,5,1.0,0.011084306612610817,44.2
xp_scorer5 f2,5,1.0,0.010971582494676113,46.4
tot r2 time f1,5,1.0,0.010958222858607768,46.4
age f1,5,1.0,0.010862929373979568,47.0
tot r3 time f2,5,1.0,0.010859806463122368,48.4
tau,5,1.0,0.010825496912002564,49.4
tot r4 time f1,5,1.0,0.010813933424651622,49.8
Klogr2 f2,5,1.0,0.010788093507289886,49.8
tot round 2 fought f2,5,1.0,0.010778532363474369,50.4
tot round 1 fought f2,5,1.0,0.01077785026282072,50.4
tot round 3 fought f2,5,1.0,0.01069225799292326,52.2
xp_scorer3 f1,5,1.0,0.01075914353132248,52.4
has round 1 fought f1,5,1.0,0.011893638595938682,53.2
xp_scorer4 f1,5,1.0,0.010584069602191448,53.6
has round 4 fought f1,5,1.0,0.010665731132030487,55.4
tot 5 rounds f2,5,1.0,0.01058231871575117,56.8
Kcustr2 f1,5,1.0,0.010516866482794285,56.8
tot round 5 fought f1,5,1.0,0.010399481002241372,56.8
tot r4 time f2,5,1.0,0.010480288602411746,58.0
xp_scorer2 f1,5,1.0,0.01045222394168377,59.0
tot r5 time f1,5,1.0,0.010322490334510803,59.4
Kcustr3 f1,5,1.0,0.010319633595645427,63.0
Kcust f1,5,1.0,0.010282609425485135,63.6
R f2,5,1.0,0.01014299001544714,65.2
tot 5 rounds f1,5,1.0,0.010180659405887128,66.8
Klogr5 f1,5,1.0,0.010112146474421024,67.8
xp_scorer5 f1,5,1.0,0.010122151859104634,68.0
last fight wa f2,5,1.0,0.010110673867166043,68.0
tot round 4 fought f2,5,1.0,0.009952428564429284,68.8
tot r1 time f1,5,1.0,0.01000633705407381,69.0
height f2,5,1.0,0.00998699627816677,69.0
weeks active f1,5,1.0,0.010120245814323425,69.4
tot round 2 fought f1,5,1.0,0.009963752143085003,69.8
R f1,5,1.0,0.010023387521505356,70.0
Klogr2 f1,5,1.0,0.009967697225511074,70.4
tot round 4 fought f1,5,1.0,0.009623801149427891,70.4
title bout,5,1.0,0.008301282301545143,70.4
Kcustr4 f1,5,1.0,0.009940734691917896,70.8
Kcustr5 f1,5,1.0,0.00973943416029215,72.4
Klogr5 f2,5,1.0,0.009580371342599392,73.0
tot round 5 fought f2,5,1.0,0.008781640417873859,73.2
Klogr4 f1,5,1.0,0.009723193943500519,75.6
tot title bout f1,5,1.0,0.009564588777720928,77.4
last fight wa f1,5,1.0,0.009607605636119843,78.0
E f1,5,1.0,0.0,87.0
