suffix,valid_size,n_repeats,n_folds,fold_seed,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0190063375779135,877,36.27276603248165,2.102019318279898,0.5594063671966585,0.7988085278907581,0.0,1.0253020322925297,76,76,1.65784242,0.19940532,0.31592275,0.62617713,0.62757945,0.62758069,1.61512905,0.21143654,0.35274314,0.64319207,0.63424037,0.63425
natty,0.10001247038284075,1,5,42,0,34,False,3,0.019497365364120334,1015,38.03647795820886,2.0089374515964162,0.5917822415427065,0.792142758386544,0.0,1.2557393418859508,78,78,1.65791367,0.19923355,0.31446721,0.62644809,0.62834313,0.62834836,1.61565226,0.21342473,0.35349127,0.64354496,0.63374925,0.63375
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0274475385072929,821,36.16010762323121,2.137830338056309,0.5937755292773286,0.8906006902194342,0.0,0.8657034399746407,75,75,1.65798625,0.20357435,0.31855476,0.62587852,0.62645604,0.62646648,1.61554996,0.21083555,0.35062344,0.64359429,0.62897953,0.629
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0269422576639293,805,36.72585978674879,2.5034847741901416,0.6137097787359718,0.8876355878665728,0.0,1.0825769203485618,75,75,1.6581382,0.20067867,0.31613065,0.62606681,0.62806281,0.62806981,1.61515715,0.211944,0.35299252,0.64372939,0.63011191,0.630125
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0195767109785174,923,36.34280107503108,2.116260809282513,0.6009915478785147,0.7912401481956333,0.0,1.174993098908447,76,76,1.6582324,0.19859494,0.31481414,0.62608717,0.62862504,0.62862613,1.61521739,0.21221135,0.3542394,0.6434474,0.62948959,0.6295
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0434509697928974,537,26.28738316820074,2.1546376658898883,0.3891921288979215,0.9391393286453682,0.0,1.2000758810739347,73,73,1.65826975,0.20172543,0.3146071,0.62607713,0.62722476,0.62723328,1.61827324,0.21347349,0.35187032,0.64255619,0.62883638,0.628875
natty,0.1000124703828407,1,5,42,0,34,False,4,0.0235035845398715,812,36.72511938253714,2.085862789544227,0.6046698940074512,0.8807792011479826,0.0,1.030144739142739,75,75,1.65830043,0.20147708,0.31613031,0.62609685,0.6270898,0.62709176,1.61658581,0.21255671,0.35261845,0.64319502,0.62910884,0.629125
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0184632443233057,1060,35.71524195140815,2.173446385962092,0.5214046949751995,0.7983337263693631,0.0,1.1531289183932123,77,77,1.65833257,0.19955209,0.31446831,0.62645159,0.62722947,0.6272327,1.61552151,0.21249432,0.3532419,0.64344975,0.6301168,0.630125
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0386932420529165,680,33.202797290194525,3.0307173946760337,0.5592541115304747,0.998807067826734,0.0,0.7139524386351683,73,73,1.6585566,0.19925138,0.31467501,0.62623389,0.6290436,0.62904659,1.61583404,0.21093151,0.35361596,0.64389916,0.63170457,0.63175
natty,0.1000124703828407,1,5,42,0,34,False,4,0.0271026033311056,820,31.57988727173246,2.5151684785780914,0.6225964722605956,0.8872064995218651,0.0,0.9484107170051016,72,72,1.6587486,0.20058567,0.31626901,0.62593293,0.62890383,0.628908,1.6167631,0.20949238,0.35012469,0.64315388,0.63243475,0.6325
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0266094780315822,757,38.60893662307426,3.0109467201421616,0.6250050531419977,0.9027784730156936,0.0,0.9082819550860034,73,73,1.65881512,0.1979546,0.31509047,0.62656384,0.62876225,0.62876482,1.61593846,0.20773064,0.34900249,0.64451857,0.63323099,0.63325
natty,0.1000124703828407,1,5,42,0,34,False,2,0.0310230475905999,735,40.04650934458618,2.6250212891265776,0.5475293469144353,0.9604855975967732,0.0,0.6313856645692011,81,81,1.65882396,0.19654332,0.31418967,0.62648803,0.62744032,0.62744238,1.61421322,0.21197424,0.35361596,0.64425368,0.62969927,0.62975
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0454888227052642,524,33.254940073046754,2.8667171454377343,0.436001479340835,0.86582952766483,0.0,1.0129123980552337,84,84,1.65897544,0.20120069,0.31426046,0.62631807,0.62855426,0.62856234,1.61604808,0.21651475,0.35286783,0.64249547,0.63060268,0.630625
natty,0.1000124703828407,1,5,42,0,34,False,5,0.0275093351814721,521,30.0,0.5169325798503198,0.7023069104251315,1.0,0.0,1.0,All,All (87),1.65926958,0.2027038,0.31460557,0.62589026,0.62820784,0.6282086,1.62269467,0.20798095,0.34264339,0.64346343,0.62746728,0.6275
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0466597308413067,514,32.68207401575937,2.7204319296307973,0.4396964011421448,0.8448033013148156,0.0,0.99677452887303,86,86,1.65945141,0.19691758,0.31294371,0.62679582,0.63016428,0.63016595,1.615211,0.21571239,0.35386534,0.64327302,0.63119233,0.63125
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0540040034284043,741,18.05951263345411,2.5908949245768755,0.4579841693236419,0.9561040513242164,0.0,1.5305596028624315,82,82,1.65949924,0.19967613,0.31315118,0.62695183,0.6291068,0.62911564,1.61633386,0.20971191,0.35137157,0.64333433,0.6303024,0.630375
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0517815416836449,641,21.191877075352487,2.121367956685947,0.3728176831661783,0.910085427138532,0.0,1.4148755026359634,74,74,1.65950453,0.20172497,0.31474522,0.62665965,0.63057585,0.63058203,1.61881239,0.21034787,0.34800499,0.64297625,0.62618573,0.62625
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0205711421596884,1235,37.96168551880412,1.953213187320435,0.4953037296431483,0.6721018823378407,0.0,1.1918011595443203,68,68,1.65960703,0.19908522,0.31446802,0.62637296,0.6291146,0.62911691,1.6119677,0.21027462,0.35286783,0.64367325,0.63249108,0.6325
natty,0.1000124703828407,1,5,42,0,34,False,2,0.0310492982909138,752,41.683532676845104,2.875378194895648,0.6551751593683861,0.9208552826532392,0.0,0.700162818879869,86,86,1.6597205,0.19813465,0.31606077,0.62646472,0.62814032,0.6281412,1.61394595,0.20868532,0.35087282,0.64460998,0.63197193,0.632
natty,0.1000124703828407,1,5,42,0,34,False,2,0.0429219596361718,791,25.902007762495305,2.254726632222161,0.3946741921965964,0.7791260814258018,0.0,0.8545612130946527,64,64,1.65982648,0.20029013,0.31502319,0.62606271,0.62604397,0.62604896,1.61185501,0.20692664,0.35174564,0.64314261,0.62961974,0.629625
natty,0.1000124703828407,1,5,42,0,34,False,5,0.0306987582264653,525,30.0,0.3988833303654665,0.7513773990606635,1.0,0.0,1.0,All,All (87),1.65989335,0.20243779,0.31391247,0.62582125,0.62890649,0.62890907,1.62376113,0.2101906,0.34600998,0.64339979,0.62960325,0.629625
natty,0.1000124703828407,1,5,42,0,34,False,4,0.0260511973181334,934,26.86732981987305,3.098063874146309,0.6234286213344875,0.8908587017450644,0.0,0.964039372029529,72,72,1.65990449,0.19806976,0.31328954,0.62638877,0.6283446,0.62834593,1.61674968,0.2116558,0.35361596,0.6436425,0.63158165,0.631625
natty,0.1000124703828407,1,5,42,0,34,False,2,0.0525517406513701,452,42.60436772869588,2.0129941284086974,0.4496210421448975,0.9315973822338224,0.0,0.5643402621481975,31,31,1.65990479,0.19854095,0.3123202,0.6267429,0.62812138,0.62813429,1.60989861,0.21126886,0.35698254,0.6416614,0.64274382,0.64275
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0361291853562336,528,27.782907019635097,2.5176185017406363,0.3975152494329647,0.9935293998615298,0.0,1.150427672513632,41,41,1.65992124,0.19670583,0.31121116,0.62675962,0.62709112,0.62709245,1.60818898,0.21000464,0.35336658,0.64186186,0.64074646,0.64075
natty,0.1000124703828407,1,5,42,0,34,False,3,0.0470751478386161,499,33.87721267387175,2.860494341516881,0.4364317790304134,0.8689361021945602,0.0,1.002024715124898,87,87,1.659965,0.19651403,0.31239027,0.62756447,0.62883337,0.62883777,1.61667096,0.21228798,0.35386534,0.64401089,0.62922688,0.62925
natty,0.1000124703828407,1,5,42,0,34,False,2,0.074366345740307,308,36.01913548348012,2.9210299407025984,0.5724154206957675,0.8740354021759388,0.0,0.4590421082147079,86,86,1.66014103,0.19774469,0.31418991,0.62680492,0.62680264,0.62681253,1.61429599,0.20954268,0.34875312,0.6439303,0.63096876,0.631
natty,0.1000124703828407,1,5,42,0,34,False,5,0.0339974561211456,591,34.0,0.5308477766956904,0.727273745081065,1.0,0.0,1.0,All,All (87),1.66016796,0.20125717,0.3130813,0.62600757,0.63155403,0.63155822,1.62124346,0.21384029,0.34975062,0.64321614,0.63161588,0.631625
natty,0.1000124703828407,1,5,42,0,34,False,4,0.0621311689851883,384,29.62208078609904,0.382101875940273,0.5442560019102304,0.6983447198050431,0.0,0.6970690666001622,78,78,1.66024008,0.20089419,0.31557553,0.62737809,0.62806145,0.62807118,1.61988193,0.21256632,0.35049875,0.64389321,0.6284954,0.628625
