rnd state samples,suffix,valid_size,n_repeats,n_folds,fold_seed,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt,ll7_tv seed_avg,f1macro7_tv seed_avg,acc7_tv seed_avg,ll2_tv seed_avg,f1macro2_tv seed_avg,acc2_tv seed_avg,ll7_vt seed_avg,f1macro7_vt seed_avg,acc7_vt seed_avg,ll2_vt seed_avg,f1macro2_vt seed_avg,acc2_vt seed_avg
15,natty,0.1000124703828407,1,5,42,0,34,False,3,0.0194973653641203,1015,38.03647795820886,2.008937451596416,0.5917822415427065,0.792142758386544,0.0,1.2557393418859508,78,78,1.65791367,0.19923355,0.31446721,0.62644809,0.62834313,0.62834836,1.61565226,0.21342473,0.35349127,0.64354496,0.63374925,0.63375,1.659229,0.1991729,0.31319661,0.62640482,0.62904254,0.62904393,1.6156816,0.21340805,0.35162095,0.64366002,0.63106854,0.63108333
15,natty,0.1000124703828407,1,5,42,0,34,False,3,0.0274475385072929,821,36.16010762323121,2.137830338056309,0.5937755292773286,0.8906006902194342,0.0,0.8657034399746407,75,75,1.65798625,0.20357435,0.31855476,0.62587852,0.62645604,0.62646648,1.61554996,0.21083555,0.35062344,0.64359429,0.62897953,0.629,1.65937402,0.20070173,0.31384307,0.62635895,0.62840947,0.62841424,1.61637467,0.21182345,0.35078969,0.64360094,0.62911138,0.629125
15,natty,0.1000124703828407,1,5,42,0,34,False,3,0.0195767109785174,923,36.34280107503108,2.116260809282513,0.6009915478785147,0.7912401481956333,0.0,1.174993098908447,76,76,1.6582324,0.19859494,0.31481414,0.62608717,0.62862504,0.62862613,1.61521739,0.21221135,0.3542394,0.6434474,0.62948959,0.6295,1.65960537,0.20020481,0.31490519,0.6266006,0.62854935,0.62855356,1.61625131,0.21127244,0.35108063,0.64407155,0.63034399,0.630375
15,natty,0.1000124703828407,1,5,42,0,34,False,3,0.0190063375779135,877,36.27276603248165,2.102019318279898,0.5594063671966585,0.7988085278907581,0.0,1.0253020322925297,76,76,1.65784242,0.19940532,0.31592275,0.62617713,0.62757945,0.62758069,1.61512905,0.21143654,0.35274314,0.64319207,0.63424037,0.63425,1.659651,0.19909654,0.31370492,0.62653604,0.62769524,0.62769837,1.615975,0.2121346,0.35083126,0.64369711,0.63052271,0.63054167
15,natty,0.1000124703828407,1,5,42,0,34,False,3,0.0269422576639293,805,36.72585978674879,2.5034847741901416,0.6137097787359718,0.8876355878665728,0.0,1.0825769203485618,75,75,1.6581382,0.20067867,0.31613065,0.62606681,0.62806281,0.62806981,1.61515715,0.211944,0.35299252,0.64372939,0.63011191,0.630125,1.65974047,0.19848549,0.31312758,0.62646935,0.62892486,0.62892804,1.61618454,0.20989274,0.34887781,0.64404038,0.63081566,0.63083333
15,natty,0.1000124703828407,1,5,42,0,34,False,5,0.0275093351814721,521,30.0,0.5169325798503198,0.7023069104251315,1.0,0.0,1.0,All,All (87),1.65926958,0.2027038,0.31460557,0.62589026,0.62820784,0.6282086,1.62269467,0.20798095,0.34264339,0.64346343,0.62746728,0.6275,1.66097503,0.19959858,0.31114165,0.62646173,0.62841561,0.62841796,1.62268664,0.20980127,0.34729842,0.64349736,0.63039952,0.63041667
15,natty,0.1000124703828407,1,5,42,0,34,False,5,0.0275093351814721,521,30.0,0.5169325798503198,0.7023069104251315,1.0,0.0,1.0,All,All (87),1.65926958,0.2027038,0.31460557,0.62589026,0.62820784,0.6282086,1.62269467,0.20798095,0.34264339,0.64346343,0.62746728,0.6275,1.66107795,0.20078646,0.3114185,0.6262282,0.62862633,0.62863043,1.6215227,0.21220497,0.35004156,0.64306313,0.62982127,0.62983333
15,natty,0.1000124703828407,1,5,42,0,34,False,5,0.0339974561211456,591,34.0,0.5308477766956904,0.727273745081065,1.0,0.0,1.0,All,All (87),1.66016796,0.20125717,0.3130813,0.62600757,0.63155403,0.63155822,1.62124346,0.21384029,0.34975062,0.64321614,0.63161588,0.631625,1.66111193,0.20015317,0.31213415,0.62623419,0.62918422,0.62918959,1.62209873,0.2114945,0.34758936,0.64356038,0.62865177,0.62866667
15,natty,0.1000124703828407,1,5,42,0,34,False,5,0.0395536933901812,461,33.0,0.3181367661593778,0.782525781654664,1.0,0.0,1.0,All,All (87),1.66061136,0.19934961,0.31051787,0.62624243,0.6294579,0.6294649,1.62277875,0.21129474,0.3521197,0.64333191,0.62982761,0.629875,1.6613042,0.19981035,0.30950225,0.62638453,0.62764795,0.62765217,1.62300443,0.20967914,0.34621779,0.64339677,0.62843664,0.62845833
15,natty,0.1000124703828407,1,5,42,0,34,False,5,0.0306987582264653,525,30.0,0.3988833303654665,0.7513773990606635,1.0,0.0,1.0,All,All (87),1.65989335,0.20243779,0.31391247,0.62582125,0.62890649,0.62890907,1.62376113,0.2101906,0.34600998,0.64339979,0.62960325,0.629625,1.66154932,0.2000345,0.31116441,0.62629309,0.62880904,0.62881362,1.62296777,0.21122111,0.34775561,0.64317593,0.62911849,0.629125
