suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
svd,0,34,False,5,0.0203810076791721,344,7,3,0.7354984464355137,1,0.0,1.0,All,All (95),1.6999,0.1885,0.2969,0.6662,0.5905,0.5905,1.6397,0.184,0.3109,0.6638,0.5992,0.5992
svd,0,34,False,5,0.0202331001584989,391,5,2,0.7444402502401741,1,0.0,1.0,All,All (95),1.7001,0.1883,0.2969,0.6656,0.5921,0.5921,1.6412,0.1842,0.3085,0.6634,0.599,0.599
svd,0,34,False,5,0.0201983616548728,359,0,3,0.7548969946564962,1,0.0,1.0,All,All (95),1.7006,0.1861,0.2959,0.6662,0.5916,0.5916,1.6401,0.183,0.311,0.6642,0.5997,0.5997
svd,0,34,False,5,0.0202313964637381,350,1,3,0.7471908847748381,1,0.0,1.0,All,All (95),1.701,0.1865,0.2951,0.6663,0.5919,0.5919,1.6403,0.1853,0.313,0.6641,0.6007,0.6008
svd,0,34,False,5,0.0222412746333581,301,8,4,0.7009338819357442,1,0.0,1.0,All,All (95),1.7014,0.186,0.2991,0.6668,0.592,0.592,1.6399,0.181,0.3105,0.665,0.5932,0.5932
svd,0,34,False,4,0.0345614570099021,467,3,3,0.7732723686587383,1,0.0,1.0,All,All (95),1.7017,0.187,0.299,0.6666,0.5923,0.5923,1.6397,0.1826,0.3084,0.6648,0.5936,0.5936
svd,0,34,False,4,0.020643767745031,328,6,2,0.7463514115221602,1,0.0,1.0,All,All (95),1.7018,0.1847,0.296,0.6671,0.5912,0.5912,1.6397,0.182,0.309,0.6645,0.6009,0.6009
svd,0,34,False,4,0.0535618483675275,222,2,3,0.8505560100909098,1,0.0,1.0,15,95,1.702,0.1889,0.2974,0.6669,0.5893,0.5893,1.639,0.1816,0.305,0.6646,0.5939,0.5939
svd,0,34,False,5,0.0202998591477908,682,6,1,0.8815329590565036,1,0.0,1.0,14,95,1.7023,0.1881,0.2956,0.6661,0.589,0.589,1.6442,0.1783,0.3025,0.6644,0.598,0.598
svd,0,34,False,4,0.0547709744471654,218,2,3,0.8558856404623358,1,0.0,1.0,15,95,1.7024,0.1862,0.2956,0.6672,0.5923,0.5923,1.642,0.18,0.3041,0.6652,0.5922,0.5922
