suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
symm,0,34,False,5,0.020102922471479,594,34,0.5308477766956904,0.727273745081065,1,0.0,1.0,All,All (87),1.7012,0.1884,0.2953,0.666,0.5892,0.5892,1.6469,0.1628,0.2996,0.6624,0.5958,0.5958
symm,0,34,False,5,0.0202904180608409,574,24,1.7701814444901136,0.7030876741443703,1,0.0,1.0,5,87,1.7012,0.1876,0.2953,0.6659,0.5931,0.5931,1.6472,0.1663,0.3022,0.6626,0.6008,0.6008
symm,0,34,False,5,0.02098414301986447,490,32,0.9490106085505591,0.7024177485604702,1,0.0,1.0,4,87,1.7015,0.1878,0.2942,0.6661,0.5919,0.5919,1.6463,0.1666,0.3014,0.6623,0.5978,0.5978
symm,0,34,False,5,0.0215230688458668,419,28,1.1003812343490034,0.7183057352267168,1,0.0,1.0,4,87,1.7017,0.1886,0.2953,0.6662,0.5913,0.5913,1.6474,0.1633,0.3008,0.6626,0.6008,0.6008
symm,0,34,False,5,0.0218727005942368,591,30,1.4966462104925915,0.7234027960663655,1,0.0,1.0,All,All (87),1.7018,0.1874,0.2935,0.6661,0.5914,0.5914,1.6467,0.1618,0.2978,0.6623,0.5968,0.5968
symm,0,34,False,5,0.0218727005942368,591,30,1.4966462104925915,0.7234027960663655,1,0.0,1.0,3,87,1.7018,0.187,0.2934,0.6661,0.5916,0.5916,1.647,0.161,0.2962,0.6623,0.5946,0.5946
symm,0,34,False,5,0.0227335513967164,437,39,1.9378320584027864,0.8409248412346284,1,0.0,1.0,5,87,1.702,0.1863,0.2941,0.6662,0.5917,0.5917,1.6459,0.1619,0.2976,0.662,0.5982,0.5982
symm,0,34,False,5,0.020779972601681,411,35,1.502787529358022,0.8062108866694068,1,0.0,1.0,All,All (87),1.7021,0.1881,0.2958,0.666,0.5909,0.5909,1.6477,0.1617,0.2972,0.6622,0.5984,0.5984
symm,0,34,False,5,0.0201026510484351,516,17,2.331569280421227,0.7960132753701334,1,0.0,1.0,5,87,1.7024,0.1865,0.2951,0.6664,0.5915,0.5915,1.6474,0.1577,0.295,0.6626,0.5994,0.5994
symm,0,34,False,5,0.023925879806965,440,21,1.4810364221551062,0.7069675619079996,1,0.0,1.0,All,All (87),1.7025,0.1855,0.2931,0.666,0.5917,0.5917,1.6473,0.1643,0.3018,0.6624,0.6018,0.6018
symm,0,34,False,5,0.0221597250932105,458,25,0.3487346516301046,0.7438216972802827,1,0.0,1.0,4,87,1.7027,0.185,0.2929,0.6659,0.5909,0.5909,1.6483,0.1597,0.2978,0.6627,0.602,0.602
symm,0,34,False,5,0.0233126114217699,462,21,1.3667756983581991,0.727728168328829,1,0.0,1.0,All,All (87),1.7028,0.1848,0.2927,0.6663,0.5904,0.5904,1.6489,0.1624,0.2988,0.663,0.5981,0.5982
symm,0,34,False,5,0.0209170225492671,461,21,1.0798625466052894,0.7436843710297063,1,0.0,1.0,All,All (87),1.7032,0.1849,0.2935,0.6662,0.5931,0.5931,1.6489,0.1561,0.2952,0.6633,0.5974,0.5974
symm,0,34,False,5,0.0206101911742238,499,1,2.273301005196956,0.7388169972400025,1,0.0,1.0,All,All (87),1.7034,0.184,0.29,0.6666,0.5922,0.5922,1.6497,0.1596,0.3006,0.6651,0.594,0.594
symm,0,34,False,5,0.020171942605576,582,10,1.656305710884955,0.7467566614134116,1,0.0,1.0,4,87,1.704,0.1825,0.2907,0.6665,0.5911,0.5911,1.6512,0.1575,0.297,0.6639,0.5943,0.5944
symm,0,34,False,5,0.0229894998940554,585,3,0.489957156047863,0.7067840933365807,1,0.0,1.0,3,87,1.7044,0.1861,0.2924,0.6665,0.589,0.589,1.6531,0.1613,0.3022,0.6659,0.5994,0.5994
symm,0,34,False,5,0.0230377242595071,434,2,2.3722138431333333,0.8448448049611839,1,0.0,1.0,All,All (87),1.7044,0.181,0.2903,0.6668,0.589,0.589,1.651,0.1559,0.2918,0.6656,0.5923,0.5924
symm,0,34,False,5,0.0230377242595071,434,2,2.3722138431333333,0.8448448049611839,1,0.0,1.0,5,87,1.7044,0.1809,0.2898,0.6667,0.5897,0.5897,1.6511,0.1554,0.2924,0.6656,0.596,0.596
symm,0,34,False,5,0.0222803499210851,557,8,1.285586096034029,0.7888621853293063,1,0.0,1.0,3,87,1.7045,0.1864,0.294,0.6666,0.5896,0.5896,1.6536,0.1552,0.2936,0.6647,0.5926,0.5926
symm,0,34,False,5,0.0240419867405823,461,4,1.7105825662803922,0.7660228740609402,1,0.0,1.0,All,All (87),1.7045,0.1849,0.2921,0.6666,0.5896,0.5896,1.6529,0.1597,0.3012,0.6655,0.5919,0.592
symm,0,34,False,5,0.0241622132040021,442,7,0.4585112746335845,0.7456363364439306,1,0.0,1.0,4,87,1.7046,0.184,0.2922,0.6665,0.5917,0.5917,1.6544,0.1569,0.2976,0.6654,0.5964,0.5964
symm,0,34,False,5,0.0230592644736119,428,11,0.9159046082342291,0.7684104976325553,1,0.0,1.0,All,All (87),1.7051,0.1837,0.2913,0.6663,0.5907,0.5907,1.6514,0.1575,0.2956,0.6639,0.5959,0.596
