upp_low,temp_f_id,name f1,name f2,tau
0,0,BJ Penn,Joey Gilbert,0
0,1,Carlos Newton,Pat Miletich,0
0,2,Chuck Liddell,Kevin Randleman,0
1,0,Joey Gilbert,BJ Penn,0
1,2,Kevin Randleman,Chuck Liddell,0
1,5,Matt Serra,Shonie Carter,0
1,1,Pat Miletich,Carlos Newton,0
1,3,Pedro Rizzo,Randy Couture,0
1,4,Pete Williams,Semmy Schilt,0
0,3,Randy Couture,Pedro Rizzo,0
0,4,Semmy Schilt,Pete Williams,0
0,5,Shonie Carter,Matt Serra,0
1,6,Steve Berger,Tony DeSouza,0
0,6,Tony DeSouza,Steve Berger,0
1,11,Andrei Arlovski,Ricco Rodriguez,8
0,7,BJ Penn,Din Thomas,8
0,8,Caol Uno,Fabiano Iha,8
1,7,Din Thomas,BJ Penn,8
1,12,Elvis Sinosic,Tito Ortiz,8
1,8,Fabiano Iha,Caol Uno,8
0,9,Josh Barnett,Semmy Schilt,8
0,10,Pat Miletich,Shonie Carter,8
1,13,Paul Rodriguez,Tony DeSouza,8
0,11,Ricco Rodriguez,Andrei Arlovski,8
1,9,Semmy Schilt,Josh Barnett,8
1,10,Shonie Carter,Pat Miletich,8
0,12,Tito Ortiz,Elvis Sinosic,8
0,13,Tony DeSouza,Paul Rodriguez,8
0,14,Vladimir Matyushenko,Yuki Kondo,8
1,14,Yuki Kondo,Vladimir Matyushenko,8
0,15,Chuck Liddell,Murilo Bustamante,21
0,16,Dave Menne,Gil Castillo,21
1,18,Dennis Hallman,Jens Pulver,21
0,17,Din Thomas,Fabiano Iha,21
1,21,Eugene Jackson,Ricardo Almeida,21
1,17,Fabiano Iha,Din Thomas,21
1,16,Gil Castillo,Dave Menne,21
0,18,Jens Pulver,Dennis Hallman,21
0,19,Jutaro Nakao,Tony DeSouza,21
0,20,Matt Serra,Yves Edwards,21
1,15,Murilo Bustamante,Chuck Liddell,21
0,21,Ricardo Almeida,Eugene Jackson,21
0,22,Tito Ortiz,Vladimir Matyushenko,21
1,19,Tony DeSouza,Jutaro Nakao,21
1,22,Vladimir Matyushenko,Tito Ortiz,21
1,20,Yves Edwards,Matt Serra,21
0,23,BJ Penn,Caol Uno,26
1,26,Bobby Hoffman,Josh Barnett,26
1,23,Caol Uno,BJ Penn,26
1,27,Carlos Newton,Matt Hughes,26
0,24,Evan Tanner,Homer Moore,26
0,25,Frank Mir,Roberto Traven,26
1,24,Homer Moore,Evan Tanner,26
0,26,Josh Barnett,Bobby Hoffman,26
0,27,Matt Hughes,Carlos Newton,26
0,28,Matt Lindland,Phil Baroni,26
1,29,Pedro Rizzo,Randy Couture,26
1,30,Pete Williams,Ricco Rodriguez,26
1,28,Phil Baroni,Matt Lindland,26
0,29,Randy Couture,Pedro Rizzo,26
0,30,Ricco Rodriguez,Pete Williams,26
1,25,Roberto Traven,Frank Mir,26
1,32,Amar Suloev,Chuck Liddell,36
0,31,Andrei Semenov,Ricardo Almeida,36
1,35,BJ Penn,Jens Pulver,36
1,34,Chris Brennan,Gil Castillo,36
0,32,Chuck Liddell,Amar Suloev,36
1,37,Dave Menne,Murilo Bustamante,36
0,33,Eugene Jackson,Keith Rockel,36
0,34,Gil Castillo,Chris Brennan,36
1,38,Jeff Monson,Ricco Rodriguez,36
0,35,Jens Pulver,BJ Penn,36
1,33,Keith Rockel,Eugene Jackson,36
0,36,Kevin Randleman,Renato Sobral,36
0,37,Murilo Bustamante,Dave Menne,36
1,36,Renato Sobral,Kevin Randleman,36
1,31,Ricardo Almeida,Andrei Semenov,36
0,38,Ricco Rodriguez,Jeff Monson,36
1,45,Andrei Arlovski,Pedro Rizzo,46
1,39,Elvis Sinosic,Evan Tanner,46
0,39,Evan Tanner,Elvis Sinosic,46
0,40,Frank Mir,Pete Williams,46
1,42,Hayato Sakurai,Matt Hughes,46
